shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered_Date,delay_days
SHO0003,FEDEX,08/08/2024,Delivered,Delhi,Hyderabad,115.22,08/10/2024,08/14/2024,4
SHO0005,FEDEX,06/15/2024,In Transit,Mumbai,Delhi,126.06,NULL,NULL,NULL
SHO0006,FEDEX,08/12/2024,Delivered,Delhi,Bangalore,108.08,08/14/2024,08/15/2024,1
SHO0009,DHL,11/29/2025,Accepted,Bangalore,Pune,355.51,12/06/2025,NULL,NULL
SHO0011,FEDEX,02/29/2024,In Transit,Delhi,Hyderabad,429.25,NULL,NULL,NULL
SHO0017,DHL,05/12/2025,Pending,Hyderabad,Chennai,43.97,05/17/2025,NULL,NULL
SHO0018,BLUEDART,07/06/2024,In Transit,Chennai,Mumbai,92.09,NULL,NULL,NULL
SHO0020,DHL,08/01/2025,Pending,Mumbai,Bangalore,103.49,NULL,NULL,NULL
SHO0023,FEDEX,06/01/2025,Accepted,Hyderabad,Mumbai,65.65,NULL,NULL,NULL
SHO0024,BLUEDART,12/23/2025,In Transit,Mumbai,Bangalore,245.33,NULL,NULL,NULL
SHO0025,FEDEX,01/01/2025,In Transit,Delhi,Pune,315.6,01/08/2025,NULL,NULL
SHO0028,BLUEDART,04/28/2024,In Transit,Delhi,Pune,23.57,05/02/2024,NULL,NULL
SHO0029,BLUEDART,02/15/2024,Delivered,Hyderabad,Mumbai,172.91,02/21/2024,02/22/2024,1
SHO0030,BLUEDART,11/30/2024,In Transit,Delhi,Chennai,324.38,12/06/2024,NULL,NULL
SHO0037,BLUEDART,04/03/2024,In Transit,Mumbai,Chennai,403.08,NULL,NULL,NULL
SHO0040,FEDEX,10/11/2024,Delivered,Delhi,Chennai,471.7,10/16/2024,10/18/2024,2
SHO0042,BLUEDART,03/07/2026,Accepted,Chennai,Pune,14.98,NULL,NULL,NULL
SHO0049,FEDEX,02/17/2026,Accepted,Bangalore,Chennai,266.14,02/19/2026,NULL,NULL
SHO0050,BLUEDART,10/15/2025,Accepted,Delhi,Hyderabad,356.62,NULL,NULL,NULL
SHO0051,DHL,05/18/2025,Delayed,Pune,Chennai,254.67,05/25/2025,NULL,NULL
SHO0057,FEDEX,03/22/2025,Delivered,Hyderabad,Bangalore,392.26,03/24/2025,03/29/2025,5
SHO0059,BLUEDART,07/27/2024,In Transit,Mumbai,Pune,238.55,NULL,NULL,NULL
SHO0061,FEDEX,12/04/2025,Pending,Mumbai,Hyderabad,3.89,NULL,NULL,NULL
SHO0063,BLUEDART,01/27/2025,In Transit,Hyderabad,Bangalore,416.49,02/01/2025,NULL,NULL
SHO0064,DHL,05/09/2024,Accepted,Mumbai,Pune,479.91,05/13/2024,NULL,NULL
SHO0065,DHL,12/12/2024,Pending,Mumbai,Delhi,321.77,12/19/2024,NULL,NULL
SHO0066,BLUEDART,03/11/2024,In Transit,Pune,Bangalore,286.07,NULL,NULL,NULL
SHO0071,FEDEX,01/04/2026,In Transit,Hyderabad,Bangalore,47.02,04/04/2026,NULL,NULL
SHO0073,FEDEX,10/06/2024,Accepted,Chennai,Bangalore,15.44,NULL,NULL,NULL
SHO0077,FEDEX,05/03/2026,Pending,Bangalore,Pune,277.08,NULL,NULL,NULL
SHO0080,DHL,09/13/2024,Delivered,Hyderabad,Bangalore,21.21,09/20/2024,09/18/2024,0
SHO0081,BLUEDART,02/05/2025,Pending,Pune,Hyderabad,371.25,05/08/2025,NULL,NULL
SHO0087,FEDEX,06/04/2026,In Transit,Chennai,Hyderabad,410.19,NULL,NULL,NULL
SHO0091,DHL,11/04/2024,In Transit,Pune,Delhi,365.06,11/08/2024,NULL,NULL
SHO0092,BLUEDART,03/14/2024,In Transit,Bangalore,Delhi,419.82,03/16/2024,NULL,NULL
SHO0093,FEDEX,01/22/2024,In Transit,Pune,Chennai,19.69,NULL,NULL,NULL
