shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered_Date,delay_days
SHO0001,BLUEDART,,In Transit,Pune,Hyderabad,NULL,02/01/2026,NULL,NULL
SHO0002,BLUEDART,,UNKNOWN,Chennai,Pune,335.29,04/08/2025,NULL,NULL
SHO0004,BLUEDART,,Accepted,Delhi,Bangalore,129.75,NULL,NULL,NULL
SHO0007,FEDEX,,In Transit,Bangalore,Mumbai,0.99,02/06/2024,NULL,NULL
SHO0008,BLUEDART,,Delayed,Mumbai,Pune,419.44,02/15/2026,NULL,NULL
,DHL,06/10/2026,UNKNOWN,Chennai,Pune,93.1,06/17/2026,06/18/2026,NULL
SHO0012,BLUEDART,,Accepted,Hyderabad,Mumbai,271.82,NULL,NULL,NULL
SHO0013,FEDEX,08/18/2024,Delayed,Pune,Delhi,NULL,NULL,09/02/2024,NULL
SHO0014,BLUEDART,,Pending,Hyderabad,Mumbai,44.26,NULL,NULL,NULL
SHO0015,FEDEX,,Accepted,Mumbai,Chennai,342.86,NULL,NULL,NULL
SHO0016,FEDEX,06/07/2024,UNKNOWN,Hyderabad,Chennai,188.32,08/07/2024,NULL,NULL
,DHL,03/23/2024,Accepted,Pune,Bangalore,27.78,NULL,NULL,NULL
SHO0021,DHL,,Pending,Pune,Chennai,497.74,09/30/2025,NULL,NULL
SHO0022,FEDEX,,Delivered,Chennai,Delhi,299.31,09/20/2025,09/22/2025,2
SHO0026,DHL,,Delayed,Hyderabad,Chennai,347.21,NULL,02/06/2024,NULL
SHO0027,FEDEX,,Delivered,Delhi,Mumbai,425.37,04/23/2026,04/21/2026,0
SHO0031,BLUEDART,,In Transit,Pune,Mumbai,169.34,NULL,NULL,NULL
,BLUEDART,10/17/2024,Pending,Hyderabad,Pune,305.04,10/23/2024,NULL,NULL
SHO0033,DHL,,UNKNOWN,Mumbai,Bangalore,-37.76,NULL,05/26/2026,NULL
SHO0034,DHL,06/29/2024,Delivered,Mumbai,Hyderabad,475.62,05/07/2024,07/10/2024,64
SHO0035,FEDEX,04/14/2026,Delivered,Mumbai,Bangalore,437.37,NULL,04/24/2026,NULL
SHO0036,DHL,03/20/2024,Delivered,Delhi,Chennai,85.72,NULL,03/27/2024,NULL
SHO0038,FEDEX,04/02/2026,Delivered,Mumbai,Bangalore,236.76,02/10/2026,NULL,NULL
SHO0039,FEDEX,,Delayed,Hyderabad,Bangalore,446.02,07/06/2025,07/16/2025,NULL
SHO0041,DHL,07/23/2024,Accepted,Pune,Delhi,-68.18,07/26/2024,NULL,NULL
SHO0043,DHL,,Delivered,Chennai,Hyderabad,NULL,04/21/2024,04/20/2024,0
SHO0044,FEDEX,05/01/2025,Delivered,Pune,Chennai,437.11,01/10/2025,NULL,NULL
SHO0045,BLUEDART,11/26/2024,Accepted,Chennai,Delhi,NULL,11/28/2024,NULL,NULL
SHO0046,DHL,,Delivered,Mumbai,Hyderabad,69.84,01/02/2025,04/01/2025,89
SHO0047,BLUEDART,03/04/2025,Delivered,Bangalore,Mumbai,-70.0,NULL,04/08/2025,NULL
SHO0048,FEDEX,,In Transit,Delhi,Chennai,65.81,10/06/2024,NULL,NULL
SHO0052,BLUEDART,,Pending,Hyderabad,Bangalore,446.93,01/28/2025,NULL,NULL
SHO0053,DHL,06/09/2024,UNKNOWN,Delhi,Pune,20.81,06/11/2024,NULL,NULL
SHO0054,FEDEX,09/27/2024,Delivered,Pune,Delhi,378.92,10/03/2024,04/10/2024,0
SHO0055,BLUEDART,10/22/2024,Pending,Bangalore,Chennai,-7.87,NULL,NULL,NULL
SHO0056,BLUEDART,,Delayed,Delhi,Bangalore,-27.03,09/20/2024,NULL,NULL
SHO0058,FEDEX,10/04/2025,Delayed,Chennai,Pune,102.42,NULL,04/16/2025,NULL
SHO0060,DHL,05/04/2024,In Transit,Chennai,Mumbai,495.51,04/07/2024,NULL,NULL
SHO0062,BLUEDART,10/16/2024,Delivered,Delhi,Pune,93.16,10/22/2024,NULL,NULL
SHO0067,FEDEX,11/28/2024,Delivered,Pune,Hyderabad,-47.45,12/02/2024,12/05/2024,3
SHO0068,BLUEDART,,Pending,Bangalore,Hyderabad,3.01,05/29/2025,NULL,NULL
SHO0069,DHL,,In Transit,Mumbai,Delhi,290.58,08/29/2025,NULL,NULL
SHO0070,FEDEX,12/17/2025,In Transit,Chennai,Delhi,-67.28,NULL,NULL,NULL
SHO0072,BLUEDART,,Pending,Pune,Mumbai,-60.65,03/22/2026,NULL,NULL
SHO0074,BLUEDART,05/16/2026,Delivered,Bangalore,Mumbai,243.24,05/18/2026,NULL,NULL
SHO0075,FEDEX,,Delayed,Pune,Delhi,279.34,05/03/2025,NULL,NULL
SHO0076,DHL,04/28/2024,Delayed,Delhi,Chennai,56.18,04/05/2024,05/07/2024,NULL
SHO0078,BLUEDART,03/03/2024,UNKNOWN,Bangalore,Delhi,80.01,03/05/2024,NULL,NULL
SHO0079,DHL,11/03/2024,Accepted,Chennai,Hyderabad,363.79,03/14/2024,NULL,NULL
SHO0082,FEDEX,,Pending,Mumbai,Pune,411.43,03/08/2024,NULL,NULL
SHO0083,FEDEX,07/15/2025,Delivered,Chennai,Bangalore,108.61,NULL,NULL,NULL
SHO0084,DHL,06/28/2026,In Transit,Mumbai,Chennai,160.01,03/07/2026,NULL,NULL
SHO0085,FEDEX,05/01/2026,Delayed,Pune,Hyderabad,-25.93,03/05/2026,05/09/2026,NULL
SHO0086,FEDEX,,Pending,Bangalore,Pune,101.22,NULL,NULL,NULL
SHO0088,BLUEDART,,Accepted,Delhi,Mumbai,25.22,12/28/2024,01/07/2025,NULL
SHO0089,FEDEX,11/15/2024,Delivered,Hyderabad,Mumbai,108.14,11/21/2024,NULL,NULL
SHO0090,FEDEX,02/12/2026,Pending,Delhi,Hyderabad,-13.99,02/17/2026,NULL,NULL
SHO0094,FEDEX,,In Transit,Delhi,Mumbai,371.89,NULL,NULL,NULL
,FEDEX,,Delayed,Mumbai,Chennai,133.87,02/12/2024,NULL,NULL
SHO0106,DHL,,In Transit,Bangalore,Mumbai,241.63,NULL,NULL,NULL
SHO0108,DHL,,UNKNOWN,Bangalore,Delhi,-0.19,03/25/2026,NULL,NULL
SHO0110,DHL,11/08/2025,In Transit,Bangalore,Chennai,336.76,08/15/2025,NULL,NULL
SHO0111,DHL,03/06/2025,UNKNOWN,Chennai,Bangalore,493.23,09/06/2025,06/07/2025,NULL
SHO0113,FEDEX,04/10/2026,Delayed,Bangalore,Hyderabad,-43.4,04/15/2026,04/16/2026,NULL
SHO0114,FEDEX,,Delivered,Delhi,Pune,30.84,02/14/2026,02/12/2026,0
SHO0115,DHL,01/11/2025,Delivered,Mumbai,Chennai,221.18,01/13/2025,NULL,NULL
