shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered_Date,delay_days
SHO0001,BLUEDART,03/11/2024,Accepted,Pune,Hyderabad,173.75,,,
SHO0002,BLUEDART,,UNKNOWN,Chennai,Pune,380.73,,,
SHO0003,DHL,03/28/2024,IN TRANS,Bangalore,Mumbai,145.3,04/01/2024,,4.0
SHO0004,DHL,,Delayed,Bangalore,Mumbai,,05/22/2024,,
SHO0005,BLUEDART,,Accepted,Hyderabad,Mumbai,177.77,01/23/2024,,
SHO0006,BLUEDART,06/04/2024,Delivered,Delhi,Pune,,11/06/2024,12/06/2024,155.0
SHO0007,FEDEX,01/09/2024,Delivered,Pune,Delhi,212.49,,01/12/2024,
SHO0008,DHL,04/03/2024,Delivered,Delhi,Hyderabad,-10.0,08/03/2024,03/12/2024,122.0
SHO0009,DHL,06/09/2024,Delayed,Pune,Delhi,412.67,,,
SHO0010,DHL,06/23/2024,Accepted,Bangalore,Pune,395.37,06/30/2024,,7.0
SHO0011,BLUEDART,02/15/2024,Pending,Delhi,Bangalore,463.3,,,
SHO0012,BLUEDART,03/23/2024,Pending,Pune,Bangalore,88.18,03/27/2024,,4.0
SHO0014,DHL,04/12/2024,Delivered,Bangalore,Delhi,352.95,04/17/2024,,5.0
SHO0015,DHL,,Delayed,Pune,Hyderabad,-100.0,03/03/2024,03/05/2024,
SHO0016,BLUEDART,03/03/2024,Delivered,Chennai,Mumbai,0.0,03/08/2024,09/03/2024,5.0
SHO0017,BLUEDART,01/16/2024,In Transit,Bangalore,Pune,385.85,01/18/2024,,2.0
SHO0019,DHL,04/09/2024,IN TRANS,Mumbai,Pune,469.14,,,
SHO0020,FEDEX,,In Transit,Hyderabad,Delhi,486.86,03/22/2024,,
SHO0021,BLUEDART,05/10/2024,Delayed,Hyderabad,Pune,437.56,05/12/2024,,2.0
SHO0022,BLUEDART,06/17/2024,Pending,Pune,Chennai,317.4,06/21/2024,,4.0
SHO0023,BLUEDART,,Delivered,Delhi,Chennai,473.01,,03/28/2024,
SHO0024,DHL,,Delayed,Hyderabad,Mumbai,264.04,,03/24/2024,
SHO0025,DHL,,Delivered,Delhi,Pune,312.35,02/01/2024,02/03/2024,
SHO0026,DHL,03/11/2024,Delayed,Pune,Chennai,81.49,,,
SHO0027,BLUEDART,01/10/2024,Accepted,Hyderabad,Bangalore,235.07,,,
SHO0028,DHL,,In Transit,Delhi,Hyderabad,360.11,,,
SHO0030,DHL,03/30/2024,IN TRANS,Hyderabad,Chennai,424.63,04/02/2024,,3.0
SHO0032,FEDEX,,Pending,Delhi,Mumbai,493.38,,,
SHO0033,BLUEDART,04/03/2024,In Transit,Bangalore,Hyderabad,109.39,10/04/2024,,184.0
SHO0034,FEDEX,03/24/2024,In Transit,Bangalore,Mumbai,372.83,03/30/2024,,6.0
SHO0035,BLUEDART,04/13/2024,Pending,Chennai,Delhi,430.16,04/17/2024,,4.0
SHO0036,FEDEX,05/10/2024,Pending,Bangalore,Hyderabad,413.37,05/17/2024,,7.0
SHO0037,DHL,02/27/2024,Delivered,Bangalore,Delhi,163.63,,,
SHO0038,DHL,05/06/2024,In Transit,Bangalore,Mumbai,182.47,05/13/2024,,7.0
SHO0039,FEDEX,04/03/2024,Accepted,Pune,Bangalore,130.97,07/03/2024,,91.0
SHO0040,BLUEDART,04/19/2024,Accepted,Bangalore,Chennai,460.88,,,
SHO0041,BLUEDART,03/11/2024,Pending,Mumbai,Hyderabad,112.54,03/15/2024,,4.0
SHO0042,FEDEX,06/29/2024,In Transit,Bangalore,Hyderabad,106.98,04/07/2024,,0.0
SHO0043,BLUEDART,05/27/2024,In Transit,Bangalore,Pune,280.33,,,
SHO0044,BLUEDART,05/04/2024,In Transit,Chennai,Hyderabad,194.63,09/05/2024,,124.0
SHO0045,FEDEX,05/16/2024,Delayed,Hyderabad,Bangalore,460.91,05/22/2024,01/06/2024,6.0
SHO0046,DHL,03/27/2024,Delivered,Mumbai,Delhi,449.45,,04/04/2024,
SHO0047,BLUEDART,08/01/2024,In Transit,Pune,Hyderabad,163.73,01/10/2024,,0.0
SHO0049,FEDEX,01/20/2024,Pending,Mumbai,Hyderabad,370.06,01/27/2024,,7.0
SHO0050,BLUEDART,,In Transit,Pune,Mumbai,357.84,,,
SHO0051,FEDEX,06/30/2024,Delayed,Bangalore,Mumbai,262.9,07/07/2024,,7.0
SHO0052,FEDEX,12/03/2024,Pending,Hyderabad,Pune,182.42,,,
SHO0053,FEDEX,03/07/2024,In Transit,Hyderabad,Mumbai,197.46,,,
SHO0054,FEDEX,,Pending,Chennai,Hyderabad,351.28,06/30/2024,,
SHO0055,BLUEDART,,Pending,Delhi,Chennai,224.38,05/28/2024,,
SHO0057,DHL,,In Transit,Hyderabad,Mumbai,155.37,03/01/2024,,
SHO0058,DHL,,Accepted,Bangalore,Mumbai,85.15,,,
SHO0059,FEDEX,04/12/2024,Pending,Pune,Hyderabad,111.11,04/19/2024,,7.0
SHO0060,DHL,04/06/2024,Pending,Chennai,Mumbai,412.11,07/06/2024,,91.0
SHO0061,FEDEX,01/16/2024,Pending,Chennai,Bangalore,483.25,01/18/2024,,2.0
SHO0064,FEDEX,,Delivered,Mumbai,Pune,207.72,04/05/2024,06/05/2024,
SHO0065,BLUEDART,,UNKNOWN,Delhi,Pune,484.0,01/30/2024,,
SHO0066,DHL,,Pending,Mumbai,Bangalore,464.75,,,
SHO0067,FEDEX,02/11/2024,In Transit,Delhi,Pune,252.89,,,
SHO0068,FEDEX,11/05/2024,Accepted,Pune,Chennai,495.01,,,
SHO0069,BLUEDART,,IN TRANS,Mumbai,Pune,310.67,,,
SHO0070,DHL,01/04/2024,Pending,Delhi,Bangalore,251.36,07/01/2024,,179.0
SHO0071,FEDEX,04/16/2024,Accepted,Chennai,Delhi,282.65,,,
SHO0072,DHL,04/16/2024,In Transit,Pune,Mumbai,472.38,04/22/2024,,6.0
SHO0073,FEDEX,,Pending,Hyderabad,Chennai,224.95,,,
SHO0074,BLUEDART,,Delayed,Mumbai,Hyderabad,213.63,04/20/2024,,
SHO0075,DHL,,Pending,Mumbai,Pune,86.45,05/17/2024,,
SHO0076,FEDEX,,Accepted,Bangalore,Pune,363.23,03/31/2024,,
SHO0077,BLUEDART,10/06/2024,UNKNOWN,Pune,Delhi,466.79,06/13/2024,06/12/2024,0.0
