shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered_Date
SHO0001,BLUEDART,3/11/2024,,Pune,Hyderabad,173.75,18-03-2024,
SHO0002,BLUEDART,23-05-2024,Unknown,Chennai,Pune,380.73,30-05-2024,
SHO0003,DHL,3/28/2024,IN TRANS,Bangalore,Mumbai,145.3,4/1/2024,
SHO0004,DHL,17-05-2024,DELAYED,Bangalore,Mumbai,a,5/22/2024,24-05-2024
SHO0005,BLUEDART,21-01-2024,,Hyderabad,Mumbai,177.77,1/23/2024,
SHO0006,BLUEDART,6/4/2024,Delivered,Delhi,Pune,b,11/6/2024,12/6/2024
SHO0007,FEDEX,1/9/2024,delivered,Pune,Delhi,212.49,13-01-2024,1/12/2024
SHO0008,DHL,4/3/2024,DELIVERED,Delhi,Hyderabad,-10,8/3/2024,3/12/2024
SHO0009,DHL,6/9/2024,delayed,Pune,Delhi,412.67,14-06-2024,24-06-2024
SHO0010,DHL,6/23/2024,,Bangalore,Pune,395.37,6/30/2024,
SHO0011,BLUEDART,2/15/2024,Pending,Delhi,Bangalore,463.3,22-02-2024,
SHO0012,BLUEDART,3/23/2024,pending,Pune,Bangalore,88.18,3/27/2024,
SHO0013,FEDEX,2/2/2024,delayed,Pune,Bangalore,357.1,8/2/2024,11/2/2024
SHO0014,DHL,4/12/2024,Delivered,Bangalore,Delhi,352.95,4/17/2024,not-a-date
SHO0015,DHL,28-02-2024,DELAYED,Pune,Hyderabad,-100,3/3/2024,3/5/2024
SHO0016,BLUEDART,3/3/2024,delivered,Chennai,Mumbai,0,3/8/2024,9/3/2024
SHO0017,BLUEDART,1/16/2024,in_transit,Bangalore,Pune,385.85,1/18/2024,
SHO0018,DHL,5/20/2024,DELAYED,Pune,Chennai,101.25,5/26/2024,5/27/2024
SHO0019,DHL,4/9/2024,IN TRANS,Mumbai,Pune,469.14,14-04-2024,
SHO0020,FEDEX,16-03-2024,In Transit,Hyderabad,Delhi,486.86,3/22/2024,
SHO0021,BLUEDART,5/10/2024,DELAYED,Hyderabad,Pune,437.56,5/12/2024,22-05-2024
SHO0022,BLUEDART,6/17/2024,PENDING,Pune,Chennai,317.4,6/21/2024,
SHO0023,BLUEDART,21-03-2024,delivered,Delhi,Chennai,473.01,23-03-2024,3/28/2024
SHO0024,DHL,13-03-2024,delayed,Hyderabad,Mumbai,264.04,19-03-2024,3/24/2024
SHO0025,DHL,28-01-2024,DELIVERED,Delhi,Pune,312.35,2/1/2024,2/3/2024
SHO0026,DHL,3/11/2024,Delayed,Pune,Chennai,81.49,14-03-2024,19-03-2024
SHO0027,BLUEDART,1/10/2024,,Hyderabad,Bangalore,235.07,16-01-2024,
SHO0028,DHL,23-06-2024,In Transit,Delhi,Hyderabad,360.11,27-06-2024,
SHO0029,DHL,1/7/2024,delayed,Hyderabad,Chennai,389.36,1/11/2024,1/18/2024
SHO0030,DHL,3/30/2024,IN TRANS,Hyderabad,Chennai,424.63,4/2/2024,
