shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered Date,delay_days
SHO0003,FEDEX,08/08/2024,Delivered,Delhi,Hyderabad,115.22,10/08/2024,14/08/2024,4
SHO0009,DHL,29/11/2025,Accepted,Bangalore,Pune,355.51,06/12/2025,,
SHO0017,DHL,12/05/2025,Pending,Hyderabad,Chennai,43.97,17/05/2025,,
SHO0021,DHL,28/09/2025,Pending,Pune,Chennai,497.74,30/09/2025,,
SHO0025,FEDEX,01/01/2025,In Transit,Delhi,Pune,315.6,08/01/2025,,
SHO0029,BLUEDART,15/02/2024,Delivered,Hyderabad,Mumbai,172.91,21/02/2024,22/02/2024,1
SHO0030,BLUEDART,30/11/2024,In Transit,Delhi,Chennai,324.38,06/12/2024,,
SHO0036,DHL,20/03/2024,Delivered,Delhi,Chennai,85.72,24/03/2024,27/03/2024,3
SHO0040,FEDEX,11/10/2024,Delivered,Delhi,Chennai,471.7,16/10/2024,18/10/2024,2
SHO0046,DHL,29/12/2024,Delivered,Mumbai,Hyderabad,69.84,02/01/2025,01/04/2025,89
SHO0049,FEDEX,17/02/2026,Accepted,Bangalore,Chennai,266.14,19/02/2026,,
SHO0050,BLUEDART,15/10/2025,Accepted,Delhi,Hyderabad,356.62,17/10/2025,,
SHO0051,DHL,18/05/2025,Delayed,Pune,Chennai,254.67,25/05/2025,26/05/2025,
SHO0052,BLUEDART,24/01/2025,Pending,Hyderabad,Bangalore,446.93,28/01/2025,,
SHO0057,FEDEX,22/03/2025,Delivered,Hyderabad,Bangalore,392.26,24/03/2025,29/03/2025,5
SHO0062,BLUEDART,16/10/2024,Delivered,Delhi,Pune,93.16,22/10/2024,27/10/2024,5
SHO0063,BLUEDART,27/01/2025,In Transit,Hyderabad,Bangalore,416.49,01/02/2025,,
SHO0064,DHL,09/05/2024,Accepted,Mumbai,Pune,479.91,13/05/2024,,
SHO0065,DHL,12/12/2024,Pending,Mumbai,Delhi,321.77,19/12/2024,,
SHO0071,FEDEX,04/01/2026,In Transit,Hyderabad,Bangalore,47.02,04/04/2026,,
SHO0074,BLUEDART,16/05/2026,Delivered,Bangalore,Mumbai,243.24,18/05/2026,22/05/2026,4
SHO0075,FEDEX,27/04/2025,Delayed,Pune,Delhi,279.34,03/05/2025,,
SHO0080,DHL,13/09/2024,Delivered,Hyderabad,Bangalore,21.21,20/09/2024,18/09/2024,0
SHO0081,BLUEDART,05/02/2025,Pending,Pune,Hyderabad,371.25,08/05/2025,,
SHO0083,FEDEX,15/07/2025,Delivered,Chennai,Bangalore,108.61,21/07/2025,23/07/2025,2
SHO0086,FEDEX,21/10/2024,Pending,Bangalore,Pune,101.22,23/10/2024,,
SHO0091,DHL,04/11/2024,In Transit,Pune,Delhi,365.06,08/11/2024,,
SHO0092,BLUEDART,14/03/2024,In Transit,Bangalore,Delhi,419.82,16/03/2024,,
SHO0096,BLUEDART,26/11/2024,Accepted,Chennai,Bangalore,483.16,30/11/2024,,
SHO0098,BLUEDART,25/11/2024,Pending,Bangalore,Hyderabad,195.86,28/11/2024,,
SHO0099,DHL,25/03/2025,Pending,Bangalore,Mumbai,223.19,28/03/2025,,
SHO0101,FEDEX,12/05/2024,Pending,Delhi,Chennai,331.12,14/05/2024,,
SHO0102,BLUEDART,23/10/2025,Delivered,Chennai,Pune,165.58,27/10/2025,25/10/2025,0
SHO0104,BLUEDART,14/02/2024,In Transit,Hyderabad,Chennai,131.29,21/02/2024,,
SHO0105,FEDEX,25/11/2025,Pending,Hyderabad,Mumbai,490.98,30/11/2025,,
SHO0107,FEDEX,16/04/2026,Pending,Pune,Delhi,433.09,18/04/2026,,
SHO0109,BLUEDART,09/03/2025,Delayed,Chennai,Bangalore,370.18,12/03/2025,17/03/2025,
SHO0112,BLUEDART,01/03/2026,Pending,Bangalore,Pune,346.41,05/03/2026,,
SHO0115,DHL,11/01/2025,Delivered,Mumbai,Chennai,221.18,13/01/2025,17/01/2025,4
SHO0120,FEDEX,14/11/2025,In Transit,Pune,Mumbai,331.53,20/11/2025,,
SHO0121,BLUEDART,24/07/2024,Delivered,Hyderabad,Pune,0.55,29/07/2024,27/07/2024,0
SHO0122,BLUEDART,22/06/2025,In Transit,Bangalore,Mumbai,366.12,28/06/2025,,
SHO0123,BLUEDART,05/07/2024,Delivered,Bangalore,Chennai,480.43,07/10/2024,08/07/2024,0
SHO0127,DHL,21/01/2026,Accepted,Delhi,Mumbai,120.31,26/01/2026,,
