shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered Date,delay_days,reason
SHO0001,BLUEDART,,IN TRANS,Pune,Hyderabad,,01/02/2026,,,Invalid ship date; Invalid status; Invalid freight cost
SHO0002,BLUEDART,28/07/2025,UNKNOWN,Chennai,Pune,335.29,08/04/2025,,,Invalid status; Expected Delivery Date is before Ship Date
SHO0004,BLUEDART,,Accepted,Delhi,Bangalore,129.75,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO0005,FEDEX,15/06/2024,In Transit,Mumbai,Delhi,126.06,,,,Expected Delivery Date is missing or invalid
SHO0006,FEDEX,12/08/2024,Delivered,Delhi,Bangalore,108.08,14/08/2024,15/08/2024,1,Duplicate shipment ID
SHO0006,FEDEX,26/05/2024,IN TRANS,Bangalore,Mumbai,0.99,06/02/2024,,,Duplicate shipment ID; Invalid status; Expected Delivery Date is before Ship Date
SHO0008,BLUEDART,,Delayed,Mumbai,Pune,419.44,15/02/2026,18/02/2026,,Invalid ship date
,DHL,10/06/2026,UNKNOWN,Chennai,Pune,93.1,17/06/2026,18/06/2026,,Missing shipment ID; Invalid status
SHO0011,FEDEX,29/02/2024,In Transit,Delhi,Hyderabad,429.25,,,,Expected Delivery Date is missing or invalid
SHO0012,BLUEDART,24/06/2025,Accepted,Hyderabad,Mumbai,271.82,,,,Expected Delivery Date is missing or invalid
SHO0013,FEDEX,18/08/2024,Delayed,Pune,Delhi,,,02/09/2024,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0014,BLUEDART,,Pending,Hyderabad,Mumbai,44.26,19/11/2025,,,Invalid ship date
SHO0015,FEDEX,,Accepted,Mumbai,Chennai,342.86,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO0016,FEDEX,07/06/2024,UNKNOWN,Hyderabad,Chennai,188.32,07/08/2024,,,Invalid status
SHO0018,BLUEDART,06/07/2024,In Transit,Chennai,Mumbai,92.09,,,,Expected Delivery Date is missing or invalid
,DHL,23/03/2024,Accepted,Pune,Bangalore,27.78,,,,Missing shipment ID; Expected Delivery Date is missing or invalid
SHO0020,DHL,01/08/2025,Pending,Mumbai,Bangalore,103.49,,,,Expected Delivery Date is missing or invalid
SHO0022,FEDEX,,Delivered,Chennai,Delhi,299.31,20/09/2025,22/09/2025,2,Invalid ship date
SHO0023,FEDEX,01/06/2025,Accepted,Hyderabad,Mumbai,65.65,,,,Expected Delivery Date is missing or invalid
SHO0024,BLUEDART,23/12/2025,In Transit,Mumbai,Bangalore,245.33,,,,Expected Delivery Date is missing or invalid
SHO0026,DHL,,Delayed,Hyderabad,Chennai,347.21,,06/02/2024,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO0027,FEDEX,,Delivered,Delhi,Mumbai,425.37,23/04/2026,21/04/2026,0,Invalid ship date
